2021-04-22 22:08:51.742 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8089"]
2021-04-22 22:08:51.746 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8089 (http) with context path ''
2021-04-22 22:08:51.751 [restartedMain] INFO  com.ly.BlogSpringbootBackApplication - Started BlogSpringbootBackApplication in 1.519 seconds (JVM running for 111.321)
2021-04-22 22:08:51.754 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2021-04-22 22:08:53.411 [Thread-26] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-04-22 22:08:53.412 [Thread-26] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-04-22 22:08:53.413 [Thread-26] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
2021-04-22 22:08:53.418 [Thread-26] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
2021-04-22 22:08:53.635 [restartedMain] INFO  com.ly.BlogSpringbootBackApplication - Starting BlogSpringbootBackApplication using Java 1.8.0_211 on LAPTOP-JTN9SC6G with PID 6424 (C:\Users\ASUS\Desktop\Blog\blog-springboot-back\target\classes started by ASUS in C:\Users\ASUS\Desktop\Blog\blog-springboot-back)
2021-04-22 22:08:53.636 [restartedMain] DEBUG com.ly.BlogSpringbootBackApplication - Running with Spring Boot v2.4.4, Spring v5.3.5
2021-04-22 22:08:53.636 [restartedMain] INFO  com.ly.BlogSpringbootBackApplication - No active profile set, falling back to default profiles: default
2021-04-22 22:08:53.800 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-04-22 22:08:53.822 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21 ms. Found 1 JPA repository interfaces.
2021-04-22 22:08:53.966 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8089 (http)
2021-04-22 22:08:53.966 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8089"]
2021-04-22 22:08:53.966 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-04-22 22:08:53.966 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.44]
2021-04-22 22:08:53.996 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-04-22 22:08:53.997 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 358 ms
2021-04-22 22:08:54.060 [restartedMain] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-04-22 22:08:54.064 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
2021-04-22 22:08:54.070 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
2021-04-22 22:08:54.070 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
2021-04-22 22:08:54.171 [restartedMain] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-04-22 22:08:54.172 [restartedMain] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-04-22 22:08:54.192 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-04-22 22:08:54.407 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-04-22 22:08:54.548 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-04-22 22:08:54.741 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8089"]
2021-04-22 22:08:54.744 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8089 (http) with context path ''
2021-04-22 22:08:54.748 [restartedMain] INFO  com.ly.BlogSpringbootBackApplication - Started BlogSpringbootBackApplication in 1.143 seconds (JVM running for 114.318)
2021-04-22 22:08:54.749 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
